case_type,number_of_hearings,judge_workload,document_count,case_priority,filing_to_first_hearing_days,court_level,previous_adjournments,total_case_duration_days
civil,5,73,3,low,6,magistrate,1,331
civil,3,39,4,medium,5,magistrate,3,121
civil,3,41,6,high,44,high_court,3,1016
civil,1,34,5,medium,2,supreme,1,1100
civil,5,37,4,low,39,district,2,452
family,6,51,6,low,10,magistrate,4,329
civil,6,44,2,low,16,magistrate,0,124
civil,5,49,2,medium,20,magistrate,0,110
tax,2,55,6,medium,23,magistrate,1,300
civil,1,75,2,medium,5,district,1,483
civil,2,62,4,medium,69,district,0,313
civil,6,54,0,low,23,district,1,390
family,4,56,3,low,108,magistrate,3,428
criminal,4,50,5,high,16,supreme,2,1839
civil,3,60,5,low,62,district,2,466
civil,9,53,4,low,23,magistrate,1,348
civil,3,73,3,low,23,district,2,448
civil,4,57,3,low,37,district,0,478
labor,5,69,1,low,1,high_court,1,748
civil,3,20,3,medium,20,high_court,1,686
civil,2,59,9,low,3,magistrate,0,198
criminal,2,41,7,medium,49,supreme,1,1596
family,7,50,4,high,2,magistrate,3,468
criminal,4,59,2,low,17,high_court,0,896
civil,4,53,3,low,129,magistrate,1,266
tax,4,54,4,low,1,magistrate,0,397
criminal,5,44,3,medium,22,supreme,0,1562
criminal,7,48,4,low,2,supreme,3,1574
family,7,60,2,low,49,supreme,0,1084
criminal,7,50,7,low,33,district,0,514
civil,7,46,1,medium,29,district,0,566
civil,1,65,7,medium,89,magistrate,2,135
criminal,5,55,5,low,1,magistrate,0,180
civil,2,28,3,medium,29,magistrate,2,264
civil,4,45,4,low,37,high_court,1,545
civil,4,47,3,medium,27,district,2,489
criminal,4,36,6,low,8,magistrate,0,130
civil,3,12,7,medium,79,district,1,539
family,3,25,4,low,22,magistrate,0,203
civil,3,40,9,medium,83,magistrate,0,330
family,5,45,8,low,10,district,1,373
tax,5,52,7,low,8,district,0,551
criminal,5,69,6,low,12,magistrate,2,288
criminal,4,46,9,medium,81,high_court,1,993
labor,5,24,3,low,15,district,1,608
civil,4,46,6,medium,5,supreme,0,1233
criminal,3,39,4,low,19,district,0,457
family,4,32,6,low,5,district,1,402
civil,3,51,3,low,38,high_court,1,725
criminal,4,24,6,medium,15,district,1,691
tax,4,51,2,low,30,magistrate,0,293
family,4,52,5,low,69,high_court,1,614
criminal,4,40,3,low,14,magistrate,0,259
family,6,59,3,medium,3,magistrate,1,141
criminal,5,59,3,high,17,magistrate,2,255
family,5,56,3,medium,10,high_court,4,860
civil,2,28,2,low,38,magistrate,0,253
criminal,6,60,11,medium,8,magistrate,0,308
civil,3,20,5,medium,86,magistrate,1,188
labor,5,40,4,high,64,high_court,1,1036
civil,5,53,5,medium,93,high_court,2,760
civil,3,49,3,medium,20,magistrate,2,451
criminal,8,57,6,medium,4,magistrate,1,439
family,3,62,6,medium,23,supreme,0,996
criminal,5,66,4,medium,108,supreme,1,1500
family,1,73,6,medium,35,magistrate,0,182
criminal,4,59,7,low,0,district,1,470
criminal,8,52,3,medium,16,magistrate,1,431
criminal,4,43,5,low,3,magistrate,1,63
criminal,4,53,2,low,15,magistrate,2,133
civil,2,70,2,low,37,high_court,2,832
family,3,47,4,low,5,high_court,0,744
labor,3,49,8,low,8,magistrate,3,504
civil,3,53,9,medium,29,district,0,513
family,3,49,6,low,104,magistrate,1,372
family,4,18,5,low,1,district,1,406
family,5,48,3,low,81,magistrate,1,283
